collection_name,card_number,card_name,image_url,rarity,quantity
Pokémon Base Set,1,Alakazam,https://images.pokemontcg.io/base1/1_hires.png,Rare,0
Pokémon Base Set,2,Blastoise,https://images.pokemontcg.io/base1/2_hires.png,Rare,1
Pokémon Base Set,3,Chansey,https://images.pokemontcg.io/base1/3_hires.png,Rare,0
Pokémon Base Set,4,Charizard,https://images.pokemontcg.io/base1/4_hires.png,Rare,2
Pokémon Base Set,5,Clefairy,https://images.pokemontcg.io/base1/5_hires.png,Rare,0
Pokémon Base Set,6,Gyarados,https://images.pokemontcg.io/base1/6_hires.png,Rare,1
Pokémon Base Set,7,Hitmonchan,https://images.pokemontcg.io/base1/7_hires.png,Rare,0
Pokémon Base Set,8,Machamp,https://images.pokemontcg.io/base1/8_hires.png,Rare,0
Pokémon Base Set,9,Magneton,https://images.pokemontcg.io/base1/9_hires.png,Rare,0
Yu-Gi-Oh! LOB,1,Blue-Eyes White Dragon,https://images.ygoprodeck.com/images/cards/89631139.jpg,Ultra Rare,1
Yu-Gi-Oh! LOB,2,Dark Magician,https://images.ygoprodeck.com/images/cards/46986414.jpg,Ultra Rare,0
Yu-Gi-Oh! LOB,3,Exodia the Forbidden One,https://images.ygoprodeck.com/images/cards/33396948.jpg,Ultra Rare,0
Yu-Gi-Oh! LOB,4,Red-Eyes Black Dragon,https://images.ygoprodeck.com/images/cards/74677422.jpg,Ultra Rare,0
Yu-Gi-Oh! LOB,5,Summoned Skull,https://images.ygoprodeck.com/images/cards/70781052.jpg,Ultra Rare,1
