collection_name;card_number;card_name;tipoOrigem;image_url;rarity;quantity;set_name;condition;language;notes
AST;1;Gogiga Gagagigo;Orica;;Common;1;Normal Monster;Mint;English;Arte customizada por artista
AST;100;The Second Sarcophagus;Orica;;Common;1;Continuous Spell;Mint;English;Arte alternativa oficial
AST;101;The First Sarcophagus;Orica;;Common;1;Continuous Trap;Mint;English;Proxy para jogo casual
AST;103;Judgment of the Desert;Orica;;Common;1;Continuous Trap;Mint;English;
AST;104;Human-Wave Tactics;Orica;;Common;1;Continuous Trap;Mint;English;
AST;14;Stone Statue of the Aztecs;Orica;;Common;1;Effect Monster;Mint;English;
AST;15;Rocket Jumper;Orica;;Common;1;Effect Monster;Mint;English;
AST;18;Gear Golem the Moving Fortress;Orica;;Common;1;Effect Monster;Mint;English;
AST;34;Archlord Zerato;Orica;;Common;1;Effect Monster;Mint;English;
AST;45;Goblin Thief;Orica;;Common;1;Normal Spell;Mint;English;
AST;56;Gigobyte;Orica;;Common;1;Normal Monster;Mint;English;
AST;57;Mokey Mokey;Orica;;Common;1;Normal Monster;Mint;English;
AST;58;Kozaky;Orica;;Common;1;Normal Monster;Mint;English;
AST;64;Aswan Apparition;Orica;;Common;1;Effect Monster;Mint;English;
AST;65;Protector of the Sanctuary;Orica;;Common;1;Effect Monster;Mint;English;
AST;7;The Agent of Wisdom - Mercury;Orica;;Common;1;Effect Monster;Mint;English;
AST;70;3-Hump Lacooda;Orica;;Common;1;Effect Monster;Mint;English;
AST;71;Ghost Knight of Jackal;Orica;;Common;1;Effect Monster;Mint;English;
AST;73;Elephant Statue of Blessing;Orica;;Common;1;Effect Monster;Mint;English;
AST;76;Emissary of the Afterlife;Orica;;Common;1;Effect Monster;Mint;English;
AST;83;Emissary of the Oasis;Orica;;Common;1;Effect Monster;Mint;English;
AST;85;Order to Charge;Orica;;Common;1;Quick-Play Spell;Mint;English;
AST;90;Blessings of the Nile;Orica;;Common;1;Continuous Spell;Mint;English;
AST;96;Delta Attacker;Orica;;Common;1;Normal Spell;Mint;English;
AST;98;Triangle Power;Orica;;Common;1;Normal Spell;Mint;English;
AST;99;The Third Sarcophagus;Orica;;Common;1;Continuous Spell;Mint;English;
CT2;2;Exarion Universe;Orica;;Common;1;Effect Monster;Mint;English;
DB2;34;Blade Knight;Orica;;Common;1;Effect Monster;Mint;English;
DB2;106;Royal Decree;Orica;;Common;1;Continuous Trap Card;Mint;English;
DB2;113;Luminous Soldier;Orica;;Common;1;Effect Monster;Mint;English;
DB2;120;Toon Masked Sorcerer;Orica;;Common;1;Toon monster;Mint;English;
DB2;121;Toon Table of Contents;Orica;;Common;1;Normal Spell Card;Mint;English;
DB2;249;Perfectly Ultimate Great Moth;Orica;;Common;1;Effect Monster;Mint;English;
DCR;1;Battle Footballer;Orica;;Common;1;Normal Monster;Mint;English;
DCR;2;Nin-Ken Dog;Orica;;Common;1;Normal Monster;Mint;English;
DCR;3;Acrobat Monkey;Orica;;Common;1;Normal Monster;Mint;English;
DCR;4;Arsenal Summoner;Orica;;Common;1;Flip monster;Mint;English;
DCR;8;Guardian Baou;Orica;;Common;1;Effect Monster;Mint;English;
DCR;11;Cyber Raider;Orica;;Common;1;Effect Monster;Mint;English;
DCR;15;Different Dimension Dragon;Orica;;Common;1;Effect Monster;Mint;English;
